APRO v4.06
Compiler : Delphi 7
Operating System : WinNT 6.2 
Device: COM3
Date/time: 21/06/17, 14:18:36
Time      Type      SubType       Data      OtherData
--------  --------  ------------  --------  ---------
0761.279  Dispatch  ReadCom       00000000  
0761.342  Dispatch  ReadCom       00000000  
0761.404  Dispatch  ReadCom       00000000  
0761.467  Dispatch  ReadCom       00000000  
0761.529  Dispatch  ReadCom       00000000  
0761.592  Dispatch  ReadCom       00000000  
0761.654  Dispatch  ReadCom       00000000  
0761.705  Dispatch  ReadCom       00000000  
0761.764  Dispatch  ReadCom       00000000  
0761.827  Dispatch  ReadCom       00000000  
0761.889  Dispatch  ReadCom       00000000  
0761.952  Dispatch  ReadCom       00000000  
0762.014  Dispatch  ReadCom       00000000  
0762.077  Dispatch  ReadCom       00000000  
0762.139  Dispatch  ReadCom       00000000  
0762.190  Dispatch  ReadCom       00000000  
0762.248  Dispatch  ReadCom       00000000  
0762.310  Dispatch  ReadCom       00000000  
0762.373  Dispatch  ReadCom       00000000  
0762.436  Dispatch  ReadCom       00000000  
0762.498  Dispatch  ReadCom       00000000  
0762.561  Dispatch  ReadCom       00000000  
0762.623  Dispatch  ReadCom       00000000  
0762.686  Dispatch  ReadCom       00000000  
0762.748  Dispatch  ReadCom       00000000  
0762.811  Dispatch  ReadCom       00000000  
0762.873  Dispatch  ReadCom       00000000  
0762.936  Dispatch  ReadCom       00000000  
0762.998  Dispatch  ReadCom       00000000  
0763.061  Dispatch  ReadCom       00000000  
0763.123  Dispatch  ReadCom       00000000  
0763.186  Dispatch  ReadCom       00000000  
0763.248  Dispatch  ReadCom       00000000  
0763.311  Dispatch  ReadCom       00000000  
0763.374  Dispatch  ReadCom       00000000  
0763.436  Dispatch  ReadCom       00000000  
0763.499  Dispatch  ReadCom       00000000  
0763.561  Dispatch  ReadCom       00000000  
0763.624  Dispatch  ReadCom       00000000  
0763.686  Dispatch  ReadCom       00000000  
0763.736  Dispatch  ReadCom       00000000  
0763.797  Dispatch  ReadCom       00000000  
0763.860  Dispatch  ReadCom       00000000  
0763.922  Dispatch  ReadCom       00000000  
0763.985  Dispatch  ReadCom       00000000  
0764.047  Dispatch  ReadCom       00000000  
0764.110  Dispatch  ReadCom       00000000  
0764.172  Dispatch  ReadCom       00000000  
0764.223  Dispatch  ReadCom       00000000  
0764.280  Dispatch  ReadCom       00000000  
0764.343  Dispatch  ReadCom       00000000  
0764.405  Dispatch  ReadCom       00000000  
0764.468  Dispatch  ReadCom       00000000  
0764.530  Dispatch  ReadCom       00000000  
0764.593  Dispatch  ReadCom       00000000  
0764.655  Dispatch  ReadCom       00000000  
0764.718  Dispatch  ReadCom       00000000  
0764.781  Dispatch  ReadCom       00000000  
0764.844  Dispatch  ReadCom       00000000  
0764.906  Dispatch  ReadCom       00000000  
0764.969  Dispatch  ReadCom       00000000  
0765.031  Dispatch  ReadCom       00000000  
0765.094  Dispatch  ReadCom       00000000  
0765.156  Dispatch  ReadCom       00000000  
0765.219  Dispatch  ReadCom       00000000  
0765.281  Dispatch  ReadCom       00000000  
0765.344  Dispatch  ReadCom       00000000  
0765.406  Dispatch  ReadCom       00000000  
0765.469  Dispatch  ReadCom       00000000  
0765.532  Dispatch  ReadCom       00000000  
0765.594  Dispatch  ReadCom       00000000  
0765.657  Dispatch  ReadCom       00000000  
0765.719  Dispatch  ReadCom       00000000  
0765.783  Dispatch  ReadCom       00000000  
0765.846  Dispatch  ReadCom       00000000  
0765.908  Dispatch  ReadCom       00000000  
0765.971  Dispatch  ReadCom       00000000  
0766.033  Dispatch  ReadCom       00000000  
0766.096  Dispatch  ReadCom       00000000  
0766.158  Dispatch  ReadCom       00000000  
0766.221  Dispatch  ReadCom       00000000  
0766.283  Dispatch  ReadCom       00000000  
0766.345  Dispatch  ReadCom       00000000  
0766.408  Dispatch  ReadCom       00000000  
0766.470  Dispatch  ReadCom       00000000  
0766.533  Dispatch  ReadCom       00000000  
0766.595  Dispatch  ReadCom       00000000  
0766.658  Dispatch  ReadCom       00000000  
0766.720  Dispatch  ReadCom       00000000  
0766.771  Dispatch  ReadCom       00000000  
0766.830  Dispatch  ReadCom       00000000  
0766.893  Dispatch  ReadCom       00000000  
0766.955  Dispatch  ReadCom       00000000  
0767.018  Dispatch  ReadCom       00000000  
0767.080  Dispatch  ReadCom       00000000  
0767.143  Dispatch  ReadCom       00000000  
0767.205  Dispatch  ReadCom       00000000  
0767.256  Dispatch  ReadCom       00000000  
0767.314  Dispatch  ReadCom       00000000  
0767.376  Dispatch  ReadCom       00000000  
0767.439  Dispatch  ReadCom       00000000  
